"a2","a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","a31","a32","a33","a34","a35","a36","a37","a38","a39","label","degree","betweenness","clustering.coefficient","bonacich","weight"
"X126","TVGUIDE",25503,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",821,2,"TABLOID","NORTHUS",1911,55,46,0.2,17,78,0.75,20,13.1,1700,50.5,36.4,0,0,2.5,1,34,40,105,100,1,9370,39.8333333333333,1,1,0.609520448862359
"X266","TVGUIDE",25503,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",821,2,"TABLOID","NORTHUS",NA,55,46,0.3,15,80,0.75,20,6.6,1900,54.9,38.5,0,0,2.5,0.7,34,40,105,100,0,9253,2,1,97,0.81711936153573
"B7","MODMAT",47201,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","WOODHOE70",815,9,"CATALOG","NORTHUS",NA,62,40,0.433,16,80,NA,30,6.5,1850,53.8,39.8,0,0,2.8,0.9,40,40,103.87,100,0,8496,0,1,-18,0.735619213080287
"T133","MASSEY",39039,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","WOODHOE70",816,9,"CATALOG","NORTHUS",1910,52,40,0.3,16,75,0.3125,30,5.6,1467,55.6,38.8,0,0,2.5,1.3,40,40,108.06,100,0,9278,14.5,1,-65,0.786661578841463
"J34","KMART",37351,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","WOODHOE70",816,2,"TABLOID",NA,1910,50,46,0.3,17,80,0.75,30,0,2100,57.5,42.5,5,0,2.3,0.6,35,40,106.67,100,0,9462,71.3333333333333,1,-38,0.678767767570221
"T218","MASSEY",38039,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","WOODHOE70",816,2,"CATALOG","NORTHUS",1910,50,40,0.267,16.8,76,0.4375,28,8.6,1467,53.8,37.6,5,0,2.5,0.8,40,40,103.87,100,0,9022,2.5,1,196,0.78751492333383
"X249","ROSES",35751,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",827,2,"TABLOID","CANADIAN",1911,50,46,0.3,16.5,75,0.75,30,0,2600,62.5,37.5,6,0,2.5,0.6,30,40,106.67,100,0,9371,21,1,-227,0.780869663237524
"X788","ROSES",35751,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",827,9,"TABLOID","CANADIAN",1911,50,46,0.2,16.5,75,0.75,28,0,2600,62.5,37.5,6,0,2.5,1.1,30,40,106.67,100,0,9071,0,1,600,0.799952984677873
"M372","MODMAT",47201,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","XYLOL","YES","ALBERT70",802,7,"CATALOG","NORTHUS",1910,50,45,0.367,12,70,0.75,60,0,1650,60.2,39.8,1.5,0,3,1,40,40,103.22,100,1,7905,4,1,-645,0.661572673539911
"I320","CHILDCRAFT",37000,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","WOODHOE70",815,2,"CATALOG","NORTHUS",1911,65,43,0.333,16,75,1,32,22.7,1750,45.5,31.8,0,0,3,1,38,40,106.66,100,0,8356,0,1,222,0.721491688449808
"I337","CHILDCRAFT",37000,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","WOODHOE70",815,9,"CATALOG","NORTHUS",1910,65,43,0.2,16,68,0.75,30,15.5,1750,48.5,35.9,0,0,3,1,38,40,106.6,100,0,9251,8.5,1,-176,0.799167157856738
