a4,a16,a17,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a2,a3,a5,a7,a8,a10,a11,a13,a14,a15,a18,a19,label
25503,821,2,1911,55,46,0.200,17,78,0.750,20,13.100,1700,50.500,36.400,0,0,2.500,1,34,40,105,X126,TVGUIDE,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,NORTHUS,0
25503,821,2,,55,46,0.300,15,80,0.750,20,6.600,1900,54.900,38.500,0,0,2.500,0.700,34,40,105,X266,TVGUIDE,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,NORTHUS,1
47201,815,9,,62,40,0.433,16,80,,30,6.500,1850,53.800,39.800,0,0,2.800,0.900,40,40,103.870,B7,MODMAT,YES,YES,BENTON,UNCOATED,COATED,LINE,YES,WOODHOE70,CATALOG,NORTHUS,1
39039,816,9,1910,52,40,0.300,16,75,0.312,30,5.600,1467,55.600,38.800,0,0,2.500,1.300,40,40,108.060,T133,MASSEY,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,WOODHOE70,CATALOG,NORTHUS,1
37351,816,2,1910,50,46,0.300,17,80,0.750,30,0,2100,57.500,42.500,5,0,2.300,0.600,35,40,106.670,J34,KMART,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,WOODHOE70,TABLOID,,1
38039,816,2,1910,50,40,0.267,16.800,76,0.438,28,8.600,1467,53.800,37.600,5,0,2.500,0.800,40,40,103.870,T218,MASSEY,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,WOODHOE70,CATALOG,NORTHUS,1
35751,827,2,1911,50,46,0.300,16.500,75,0.750,30,0,2600,62.500,37.500,6,0,2.500,0.600,30,40,106.670,X249,ROSES,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
35751,827,9,1911,50,46,0.200,16.500,75,0.750,28,0,2600,62.500,37.500,6,0,2.500,1.100,30,40,106.670,X788,ROSES,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
47201,802,7,1910,50,45,0.367,12,70,0.750,60,0,1650,60.200,39.800,1.500,0,3,1,40,40,103.220,M372,MODMAT,YES,YES,BENTON,UNCOATED,UNCOATED,XYLOL,YES,ALBERT70,CATALOG,NORTHUS,0
37000,815,2,1911,65,43,0.333,16,75,1,32,22.700,1750,45.500,31.800,0,0,3,1,38,40,106.660,I320,CHILDCRAFT,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,WOODHOE70,CATALOG,NORTHUS,1
37000,815,9,1910,65,43,0.200,16,68,0.750,30,15.500,1750,48.500,35.900,0,0,3,1,38,40,106.600,I337,CHILDCRAFT,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,WOODHOE70,CATALOG,NORTHUS,1
35539,821,2,1911,50,50,0.367,14,80,0.750,40,10.500,1700,52.600,36.800,0,0,2.500,1,38,40,105,X352,HANOVRHOUSE,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,NORTHUS,0
35539,821,7,1911,50,50,0.300,15,70,1,30,10,1600,50,40,0,0,2.800,1,38,40,106.660,X67,HANOVRHOUS,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,NORTHUS,0
23052,821,7,1911,40,45,0.300,14.500,70,0.625,25,0,1500,59.500,40.500,0,0,2,1,40,40,100,X817,GUIDEPOSTS,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,NORTHUS,0
35539,821,2,1911,50,43,0.267,16,75,1,20,15.800,1600,49.500,34.700,0,0,2.500,1,38,40,103.220,X273,HANOVRHOUS,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,NORTHUS,1
47201,813,9,1911,,45,0.233,15,87,1,,0,1400,62.500,37.500,0,0,2.500,1,40,40,103.220,F108,MODMAT,,YES,BENTON,COATED,COATED,LINE,NO,MOTTER70,CATALOG,NORTHUS,0
38064,813,5,1911,30,45,0.200,14,65,,,0,1600,62.500,37.500,0,0,2.500,0.800,33,40,100,F237,HOMESHOP,NO,YES,BENTON,COATED,COATED,LINE,NO,MOTTER70,CATALOG,CANADIAN,1
38064,813,1,1911,30,45,0.200,15.500,65,,,5.900,1600,58.800,35.300,0,0,2.500,1.800,33,40,100,F267,HOMESHOP,NO,YES,BENTON,COATED,COATED,LINE,NO,MOTTER70,CATALOG,CANADIAN,1
35521,813,5,1910,60,38,0.267,16.400,64,0.750,,11,1400,54.900,34.100,0,0,2.500,1,32,40,103.220,S21,USCAV,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER70,CATALOG,CANADIAN,1
35521,813,1,1911,60,38,0.333,16.500,66,0.750,,6.700,1400,56.200,37.100,0,0,1.100,1.400,32,40,103.220,F492,USCAV,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER70,CATALOG,CANADIAN,1
37571,824,2,1911,50,45,0.233,16,70,0.812,30,0,2400,58.800,41.200,0,0,1.700,1,30,40,107.400,X799,COLORTIL,NO,YES,BENTON,COATED,COATED,NAPTHA,NO,MOTTER94,TABLOID,CANADIAN,1
35751,824,9,1911,40,45,0.200,15,76,0.812,30,0,2400,62.500,37.500,0,0,1,1,30,40,107.400,X823,COLORTIL,NO,YES,BENTON,COATED,COATED,NAPTHA,YES,MOTTER94,TABLOID,CANADIAN,1
37340,824,2,1911,30,43,0.200,16.300,70,0.812,25,1.200,2200,58.100,40.700,4,0,2,1,30,40,96.875,X163,WARDS,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
35816,827,2,1911,40,41,0.200,15.800,72,1,30,0,2000,62.500,37.500,0,0,2.500,1,30,40,107.400,O4,TARGET,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,SPIEGEL,CANADIAN,0
37352,827,9,1911,40,42,0.200,14.500,74,1,25,8,2100,57.500,34.500,0,0,2.300,0.700,35,40,107.400,E84,KMART,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,SCANDANAVIAN,0
37352,827,9,1911,45,42,0.200,14,70,1,20,8,1850,57.500,34.500,0,0,2,0.700,35,40,107.400,E81,KMART,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,SCANDANAVIAN,0
37352,827,9,1911,50,45,0.300,15,76,1,30,8,2150,57.500,34.500,0,0,2.500,1,35,40,107.400,E72,KMART,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,MOTTER94,TABLOID,SCANDANAVIAN,1
37352,827,2,1911,50,45,0.300,15.200,72,1,25,5.900,2150,58.800,35.300,0,0,2.500,1,35,40,107.400,E310,KMART,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,MOTTER94,TABLOID,SCANDANAVIAN,1
37080,828,2,1911,35,42,,15,75,0.750,30,0,2100,58.800,41.200,0,0,2,0.800,30,40,107.400,X29,WOOLWORTH,NO,YES,BENTON,COATED,COATED,LINE,NO,MOTTER94,TABLOID,CANADIAN,0
37157,828,2,1910,30,45,0.233,17,70,0.750,35,0,2200,58.800,41.200,0,0,2.500,1,33,40,106.450,X292,AMES,NO,YES,BENTON,COATED,COATED,LINE,NO,MOTTER94,TABLOID,CANADIAN,0
37352,815,2,1911,37.500,44,0.200,16,90,0.750,28,20,2050,45,35,0,0,2.400,0.800,35,40,107.400,J9,KMART,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,WOODHOE70,TABLOID,NORTHUS,1
37352,815,9,1911,37.500,44,0.200,16.500,91,0.750,30,21.700,2050,43.500,34.800,0,0,2.700,0.800,35,40,107.400,J582,KMART,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,WOODHOE70,TABLOID,NORTHUS,1
25507,821,2,1911,45,44,0.267,14.100,78,0.625,22,7.600,1510,54.300,38,0,0,2.500,0.700,34,40,114.280,X141,TVGUIDE,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,,1
25507,821,7,1910,40,44,0.200,14,69,0.625,20,8.500,1510,53.200,38.300,2,0,2.500,0.900,34,40,110,X818,TVGUIDE,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,,1
37080,828,2,1911,40,47,0.333,17,78,0.750,35,0,2400,58.800,41.200,4,0,2.500,1,30,40,100,V376,WOOLWRTH,NO,YES,BENTON,COATED,COATED,LINE,NO,MOTTER94,TABLOID,,0
27490,813,1,1911,30,42,0.200,15.400,64,0.875,,0,1425,63,37,0,0,1,1.300,34,40,107.400,M254,ABBYPRESS,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER70,CATALOG,,1
35811,815,2,1910,45,38,,15,80,0.625,30,7,1600,58.100,34.900,0,0,2.500,1.500,30,40,103.220,R5,TARGET,NO,YES,BENTON,COATED,COATED,LINE,YES,WOODHOE70,SPIEGEL,CANADIAN,0
35334,816,2,1911,40,43,0.267,16,96,1,28,0,1500,58.800,41.200,2,0,3,0.800,40,40,103.120,J33,BELKS,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,WOODHOE70,TABLOID,,1
35334,816,9,1911,32.500,43,0.200,15,82,1,31,7.600,1500,54.300,38,4,0,2.500,1,40,40,103.120,J43,BELKS,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,WOODHOE70,TABLOID,NORTHUS,1
37869,815,9,1911,37.500,44,0.300,15,85,0.750,34,0,1400,62.500,37.500,0,0,2.800,1,28,40,103.120,I357,SEARS,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,WOODHOE70,CATALOG,NORTHUS,1
37869,815,2,1910,35,44,0.300,16,80,1,32,7,1400,58.100,34.900,0,0,3,1,28,40,103.120,I353,SEARS,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,WOODHOE70,CATALOG,NORTHUS,1
27490,813,1,1911,30,42,0.200,15.400,64,0.875,,0,1425,61.700,38.300,0,0,1,1.300,34,40,107.400,M254,ABBYPRESS,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER70,CATALOG,NORTHUS,1
35752,824,9,1910,50,43,0.200,16,82,0.875,30,0,2270,55.600,44.400,12,0,2,1,30,40,103.220,X291,ROSES,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
