"id","a39","a38","a37","a36","a35","a34","a33","a32","a31","a30","a29","a28","a27","a26","a25","a24","a23","a22","a21","a20","a19","a18","a16","a15","a14","a13","a12","a11","a10","a9","a8","a7","a6","a5","a4","a3","a2","a1","a17","label","degree","betweenness","clustering.coefficient","bonacich","label"
1,"100","105","40","34","1","2.5","0","0","36.4","50.5","1700","13.1","20","0.75","78","17","0.2","46","55","1911","NorthUS","TABLOID","821","Motter94","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","25503","TVGUIDE","X126","19910108",1,1,8230,0,0.998408239911451,-44,0.608869489697994
2,"100","105","40","34","0.7","2.5","0","0","38.5","54.9","1900","6.6","20","0.75","80","15","0.3","46","55","?","NorthUS","TABLOID","821","Motter94","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","25503","TVGUIDE","X266","19910109",1,0,8045,24.73409832015,0.998410610077129,222,0.726220927492452
3,"100","103.87","40","40","0.9","2.8","0","0","39.8","53.8","1850","6.5","30","?","80","16","0.433","40","62","?","NorthUS","CATALOG","815","WoodHoe70","YES","LINE","NO","COATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","47201","MODMAT","B7","19910104",4,0,7474,12.9714832909579,0.999617793577636,-217,0.766688782993774
4,"100","108.06","40","40","1.3","2.5","0","0","38.8","55.6","1467","5.6","30","0.3125","75","16","0.3","40","52","1910","NorthUS","CATALOG","816","WoodHoe70","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","39039","MASSEY","T133","19910104",4,0,7909,2.3720817455587,0.999612915347836,165,0.795905089628119
5,"100","106.67","40","35","0.6","2.3","0","5","42.5","57.5","2100","0","30","0.75","80","17","0.3","46","50","1910","?","TABLOID","816","WoodHoe70","YES","LINE","NO","COATED","UNCOATED","GALLATIN","BENTON","YES","KEY","NO","37351","KMART","J34","19910111",1,0,8158,0,0.998409201207506,-164,0.73227804197075
6,"100","103.87","40","40","0.8","2.5","0","5","37.6","53.8","1467","8.6","28","0.4375","76","16.8","0.267","40","50","1910","NorthUS","CATALOG","816","WoodHoe70","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","38039","MASSEY","T218","19910104",1,0,7632,24.2483599837737,0.998378081936033,130,0.700684725155084
7,"100","106.67","40","30","0.6","2.5","0","6","37.5","62.5","2600","0","30","0.75","75","16.5","0.3","46","50","1911","CANADIAN","TABLOID","827","Motter94","YES","LINE","NO","COATED","COATED","GALLATIN","BENTON","YES","KEY","NO","35751","ROSES","X249","19910111",1,0,8246,0,0.99842662794397,25,0.738706153044506
8,"100","106.67","40","30","1.1","2.5","0","6","37.5","62.5","2600","0","28","0.75","75","16.5","0.2","46","50","1911","CANAdiAN","TABLOID","827","Motter94","YES","LINE","NO","COATED","COATED","GALLATIN","BENTON","YES","KEY","NO","35751","ROSES","X788","19910111",4,0,7919,0,0.999126847058812,-68,0.762912218762627
9,"100","103.22","40","40","1","3","0","1.5","39.8","60.2","1650","0","60","0.75","70","12","0.367","45","50","1910","NorthUS","CATALOG","802","Albert70","YES","XYLOL","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","47201","MODMAT","M372","19910112",3,1,7152,0,0.999613604455943,-31,0.60299692469152
10,"100","106.66","40","38","1","3","0","0","31.8","45.5","1750","22.7","32","1","75","16","0.333","43","65","1911","NorthUS","CATALOG","815","WoodHoe70","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","37000","CHILDCRAFT","I320","19910114",1,0,7738,170.842647886536,0.998376323672635,-18,0.709938420452202
