"a2","a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","a31","a32","a33","a34","a35","a36","a37","a38","a39","label","degree","betweenness","clustering.coefficient","bonacich","weight"
"X126","TVGUIDE",25503,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",821,2,"TABLOID","NORTHUS",1911,55,46,0.2,17,78,0.75,20,13.1,1700,50.5,36.4,0,0,2.5,1,34,40,105,100,1,10222,24,1,87,0.607869707273577
"X266","TVGUIDE",25503,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",821,2,"TABLOID","NORTHUS",NA,55,46,0.3,15,80,0.75,20,6.6,1900,54.9,38.5,0,0,2.5,0.7,34,40,105,100,0,9652,0,1,-152,0.757979116074631
"B7","MODMAT",47201,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","WOODHOE70",815,9,"CATALOG","NORTHUS",NA,62,40,0.433,16,80,NA,30,6.5,1850,53.8,39.8,0,0,2.8,0.9,40,40,103.87,100,0,9028,0,1,286,0.702565947259016
"T133","MASSEY",39039,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","WOODHOE70",816,9,"CATALOG","NORTHUS",1910,52,40,0.3,16,75,0.3125,30,5.6,1467,55.6,38.8,0,0,2.5,1.3,40,40,108.06,100,0,10118,6.5,1,-444,0.783099389106354
"J34","KMART",37351,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","WOODHOE70",816,2,"TABLOID",NA,1910,50,46,0.3,17,80,0.75,30,0,2100,57.5,42.5,5,0,2.3,0.6,35,40,106.67,100,0,10239,12.5,1,612,0.775515032101619
"T218","MASSEY",38039,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","WOODHOE70",816,2,"CATALOG","NORTHUS",1910,50,40,0.267,16.8,76,0.4375,28,8.6,1467,53.8,37.6,5,0,2.5,0.8,40,40,103.87,100,0,9957,0,1,-455,0.788372030542015
"X249","ROSES",35751,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",827,2,"TABLOID","CANADIAN",1911,50,46,0.3,16.5,75,0.75,30,0,2600,62.5,37.5,6,0,2.5,0.6,30,40,106.67,100,0,10420,16,1,3,0.782265792586335
"X788","ROSES",35751,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",827,9,"TABLOID","CANADIAN",1911,50,46,0.2,16.5,75,0.75,28,0,2600,62.5,37.5,6,0,2.5,1.1,30,40,106.67,100,0,10170,0,1,90,0.811084318014288
"M372","MODMAT",47201,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","XYLOL","YES","ALBERT70",802,7,"CATALOG","NORTHUS",1910,50,45,0.367,12,70,0.75,60,0,1650,60.2,39.8,1.5,0,3,1,40,40,103.22,100,1,8455,0,1,307,0.675176448879157
"I320","CHILDCRAFT",37000,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","WOODHOE70",815,2,"CATALOG","NORTHUS",1911,65,43,0.333,16,75,1,32,22.7,1750,45.5,31.8,0,0,3,1,38,40,106.66,100,0,9547,0,1,56,0.748051113680215
"I337","CHILDCRAFT",37000,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","WOODHOE70",815,9,"CATALOG","NORTHUS",1910,65,43,0.2,16,68,0.75,30,15.5,1750,48.5,35.9,0,0,3,1,38,40,106.6,100,0,9996,1,1,-354,0.789030885106562
"X352","HANOVRHOUSE",35539,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",821,2,"TABLOID","NORTHUS",1911,50,50,0.367,14,80,0.75,40,10.5,1700,52.6,36.8,0,0,2.5,1,38,40,105,100,1,10188,25.5,1,183,0.613025651798745
"X67","HANOVRHOUS",35539,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",821,7,"TABLOID","NORTHUS",1911,50,50,0.3,15,70,1,30,10,1600,50,40,0,0,2.8,1,38,40,106.66,100,1,10260,38.5,1,-180,0.635936929321011
"X817","GUIDEPOSTS",23052,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",821,7,"TABLOID","NORTHUS",1911,40,45,0.3,14.5,70,0.625,25,0,1500,59.5,40.5,0,0,2,1,40,40,100,100,1,10903,105.333333333333,1,298,0.7599689285274
"X273","HANOVRHOUS",35539,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",821,2,"TABLOID","NORTHUS",1911,50,43,0.267,16,75,1,20,15.8,1600,49.5,34.7,0,0,2.5,1,38,40,103.22,100,0,10274,1.5,1,-180,0.817166213689747
"F108","MODMAT",47201,NA,"KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","NO","MOTTER70",813,9,"CATALOG","NORTHUS",1911,NA,45,0.233,15,87,1,NA,0,1400,62.5,37.5,0,0,2.5,1,40,40,103.22,100,1,9025,0,1,-152,0.634459070166334
"F237","HOMESHOP",38064,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","NO","MOTTER70",813,5,"CATALOG","CANADIAN",1911,30,45,0.2,14,65,NA,NA,0,1600,62.5,37.5,0,0,2.5,0.8,33,40,100,100,0,9044,0,1,162,0.703885397736945
"F267","HOMESHOP",38064,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","NO","MOTTER70",813,1,"CATALOG","CANADIAN",1911,30,45,0.2,15.5,65,NA,NA,5.9,1600,58.8,35.3,0,0,2.5,1.8,33,40,100,100,0,9035,0,1,-89,0.70314259766943
"S21","USCAV",35521,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER70",813,5,"CATALOG","CANADIAN",1910,60,38,0.267,16.4,64,0.75,NA,11,1400,54.9,34.1,0,0,2.5,1,32,40,103.22,100,0,9127,0,1,211,0.710810367186065
"F492","USCAV",35521,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER70",813,1,"CATALOG","CANADIAN",1911,60,38,0.333,16.5,66,0.75,NA,6.7,1400,56.2,37.1,0,0,1.1,1.4,32,40,103.22,100,0,8517,0,1,-402,0.662880843073719
"X799","COLORTIL",37571,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","NAPTHA","NO","MOTTER94",824,2,"TABLOID","CANADIAN",1911,50,45,0.233,16,70,0.8125,30,0,2400,58.8,41.2,0,0,1.7,1,30,40,107.4,100,0,9509,6,1,135,0.726844576905978
"X823","COLORTIL",35751,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","NAPTHA","YES","MOTTER94",824,9,"TABLOID","CANADIAN",1911,40,45,0.2,15,76,0.8125,30,0,2400,62.5,37.5,0,0,1,1,30,40,107.4,100,0,9692,0,1,-289,0.761830881806318
"X163","WARDS",37340,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",824,2,"TABLOID","CANADIAN",1911,30,43,0.2,16.3,70,0.8125,25,1.2,2200,58.1,40.7,4,0,2,1,30,40,96.875,100,0,9967,2,1,308,0.782682173358248
"O4","TARGET",35816,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",827,2,"SPIEGEL","CANADIAN",1911,40,41,0.2,15.8,72,1,30,0,2000,62.5,37.5,0,0,2.5,1,30,40,107.4,100,1,10396,19,1,-186,0.587776525031604
"E84","KMART",37352,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",827,9,"TABLOID","SCANDANAVIAN",1911,40,42,0.2,14.5,74,1,25,8,2100,57.5,34.5,0,0,2.3,0.7,35,40,107.4,100,1,10160,15.8333333333333,1,8,0.595517177465495
"E81","KMART",37352,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",827,9,"TABLOID","SCANDANAVIAN",1911,45,42,0.2,14,70,1,20,8,1850,57.5,34.5,0,0,2,0.7,35,40,107.4,100,1,9918,3.33333333333333,1,59,0.585853302445701
"E72","KMART",37352,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","MOTTER94",827,9,"TABLOID","SCANDANAVIAN",1911,50,45,0.3,15,76,1,30,8,2150,57.5,34.5,0,0,2.5,1,35,40,107.4,100,0,10216,5,1,35,0.798423339275239
"E310","KMART",37352,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","MOTTER94",827,2,"TABLOID","SCANDANAVIAN",1911,50,45,0.3,15.2,72,1,25,5.9,2150,58.8,35.3,0,0,2.5,1,35,40,107.4,100,0,10388,46.5,1,-49,0.689785056898624
"X29","WOOLWORTH",37080,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","NO","MOTTER94",828,2,"TABLOID","CANADIAN",1911,35,42,NA,15,75,0.75,30,0,2100,58.8,41.2,0,0,2,0.8,30,40,107.4,100,1,10288,5,1,-161,0.568330970680358
"X292","AMES",37157,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","NO","MOTTER94",828,2,"TABLOID","CANADIAN",1910,30,45,0.233,17,70,0.75,35,0,2200,58.8,41.2,0,0,2.5,1,33,40,106.45,100,1,10436,26,1,270,0.598843035822837
"J9","KMART",37352,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","WOODHOE70",815,2,"TABLOID","NORTHUS",1911,37.5,44,0.2,16,90,0.75,28,20,2050,45,35,0,0,2.4,0.8,35,40,107.4,100,0,10862,16.5,1,-69,0.828257856990261
"J582","KMART",37352,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","WOODHOE70",815,9,"TABLOID","NORTHUS",1911,37.5,44,0.2,16.5,91,0.75,30,21.7,2050,43.5,34.8,0,0,2.7,0.8,35,40,107.4,100,0,10612,9.5,1,147,0.825810046010581
"X141","TVGUIDE",25507,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",821,2,"TABLOID",NA,1911,45,44,0.267,14.1,78,0.625,22,7.6,1510,54.3,38,0,0,2.5,0.7,34,40,114.28,100,0,10618,8.5,1,102,0.830228740483691
"X818","TVGUIDE",25507,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",821,7,"TABLOID",NA,1910,40,44,0.2,14,69,0.625,20,8.5,1510,53.2,38.3,2,0,2.5,0.9,34,40,110,100,0,9644,0,1,-293,0.757213432031433
"V376","WOOLWRTH",37080,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","NO","MOTTER94",828,2,"TABLOID",NA,1911,40,47,0.333,17,78,0.75,35,0,2400,58.8,41.2,4,0,2.5,1,30,40,100,100,1,9946,15,1,-681,0.606772679945883
"M254","ABBYPRESS",27490,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER70",813,1,"CATALOG",NA,1911,30,42,0.2,15.4,64,0.875,NA,0,1425,63,37,0,0,1,1.3,34,40,107.4,100,0,8954,0,1,1590,0.696527281285461
