"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","label","degree","betweenness","clustering.coefficient","bonacich","weight"
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,4082,1363.99796296325,0.894447053398412,100,0.78849008497537
7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5,3272,269.90903165462,0.890527358271978,70,0.746425855000831
7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5,3284,307.401424963925,0.893911909102685,28,0.813884367920468
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6,3034,397.031338696993,0.878859779903131,53,0.774235417189205
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,4082,759.479373219659,0.894447053398412,-60,0.78849008497537
7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5,3630,1033.21659263939,0.88769643198086,27,0.685397880692974
7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,5,3726,873.784613303362,0.890254638172489,29,0.723948496990677
7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7,2776,121.781321456321,0.872282037327924,43,0.477867225965739
7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7,3245,1478.63833796922,0.869035809372397,-9,0.512387931622174
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5,2926,137.921739147624,0.888730901813068,20,0.727651128387788
6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5,3598,760.414507428846,0.896222598913588,16,0.851201306080322
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5,2926,193.731262957148,0.888730901813068,-7,0.727651128387788
5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5,2932,115.079610667111,0.905747285698045,5,0.841824616071801
7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5,2674,105.860501998002,0.888843693806346,17,0.73938672158465
8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,5,2136,141.4721001221,0.887382012810728,51,0.734110462964949
8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,5,2094,80.0491452991453,0.90096084391999,5,0.917618959888577
8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,7,1684,143.696735209235,0.841743241274195,58,0.861110277745275
8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,5,3160,354.709539948356,0.90468104231147,-34,0.88006361296878
7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,4,2626,23.2512085137085,0.884609353730361,53,0.401763354569024
7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,6,2874,135.639662603478,0.890626379629006,5,0.590975823411535
8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,6,4001,2212.81167836292,0.8810267963461,-19,0.772885416076767
7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5,3538,522.122710519615,0.898306103167607,-17,0.907755775005414
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,3372,543.221847349847,0.88097937344525,-19,0.601475509393168
8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5,3142,359.991958755039,0.892348252372764,-3,0.787286941686482
